month,count,percentage
2015-03,2375,0.062131
2015-04,5376,0.140638
2015-05,5643,0.147623
2015-06,5904,0.154451
2015-07,6627,0.173365
2015-08,6452,0.168787
2015-09,5759,0.150658
2015-10,6258,0.163712
2015-11,5136,0.13436
2015-12,5193,0.135851
2016-01,5649,0.14778
2016-02,5578,0.145923
2016-03,6406,0.167583
2016-04,6212,0.162508
2016-05,6192,0.161985
2016-06,6332,0.165647
2016-07,6561,0.171638
2016-08,7086,0.185372
2016-09,7484,0.195784
2016-10,7541,0.197275
2016-11,6140,0.160625
2016-12,6585,0.172266
2017-01,9473,0.247817
2017-02,7656,0.200284
2017-03,8463,0.221395
2017-04,8539,0.223383
2017-05,9696,0.253651
2017-06,9183,0.240231
2017-07,10022,0.262179
2017-08,10315,0.269844
2017-09,13597,0.355703
2017-10,9945,0.260165
2017-11,9186,0.240309
2017-12,9236,0.241617
2018-01,11465,0.299929
2018-02,10508,0.274893
2018-03,11139,0.2914
2018-04,10662,0.278922
2018-05,10389,0.27178
2018-06,9038,0.236437
2018-07,9492,0.248314
2018-08,9833,0.257235
2018-09,8339,0.218151
2018-10,10049,0.262886
2018-11,8830,0.230996
2018-12,8649,0.226261
2019-01,8530,0.223148
2019-02,9608,0.251349
2019-03,10363,0.2711
2019-04,10090,0.263958
2019-05,10472,0.273951
2019-06,10606,0.277457
2019-07,11159,0.291924
2019-08,12056,0.315389
2019-09,10343,0.270577
2019-10,11708,0.306286
2019-11,10243,0.267961
2019-12,9660,0.252709
2020-01,11575,0.302806
2020-02,10955,0.286587
2020-03,13133,0.343564
2020-04,15200,0.397638
2020-05,16346,0.427617
2020-06,15710,0.410979
2020-07,17255,0.451397
2020-08,15862,0.414956
2020-09,14207,0.37166
2020-10,14333,0.374957
2020-11,13861,0.362609
2020-12,15859,0.414877
2021-01,16436,0.429972
2021-02,14975,0.391752
2021-03,18519,0.484464
2021-04,16171,0.423039
2021-05,16320,0.426937
2021-06,17374,0.45451
2021-07,18406,0.481508
2021-08,16926,0.44279
2021-09,16588,0.433948
2021-10,16708,0.437087
2021-11,16969,0.443915
2021-12,18177,0.475517
2022-01,19546,0.511331
2022-02,21486,0.562082
2022-03,24261,0.634677
2022-04,30343,0.793784
2022-05,24788,0.648463
2022-06,26608,0.696075
2022-07,29107,0.76145
2022-08,32056,0.838597
2022-09,29790,0.779317
2022-10,32591,0.852593
2022-11,31533,0.824915
2022-12,35162,0.919851
2023-01,39585,1.035558
2023-02,35016,0.916031
2023-03,41050,1.073883
2023-04,36579,0.95692
2023-05,41109,1.075427
2023-06,41308,1.080633
2023-07,40756,1.066192
2023-08,46289,1.210937
2023-09,42484,1.111397
2023-10,43333,1.133607
2023-11,38887,1.017298
2023-12,40830,1.068128
2024-01,43917,1.148885
2024-02,48104,1.258418
2024-03,61141,1.599471
2024-04,63936,1.672589
2024-05,71287,1.864894
2024-06,68185,1.783745
2024-07,72824,1.905103
2024-08,75850,1.984264
2024-09,74352,1.945076
2024-10,79667,2.084118
2024-11,73579,1.924854
2024-12,81322,2.127414
2025-01,172901,4.523154
2025-02,92413,2.417558
2025-03,105127,2.750161
2025-04,104921,2.744772
2025-05,106901,2.79657
2025-06,112677,2.947672
2025-07,125478,3.282551
2025-08,108849,2.84753
2025-09,81654,2.136099
2025-10,76164,1.992478
2025-11,78110,2.043386
2025-12,56557,1.479552
2026-01,22389,0.585705
2026-02,12368,0.323551
2026-03,21904,0.573017
2026-04,21022,0.549943
2026-05,12309,0.322008
2026-06,3275,0.085675
